-117 	 0.00
-113 	 0.00
-109 	 0.00
-105 	 0.00
-101 	 0.00
-97 	 0.00
-93 	 0.00
-92 	 0.00
-89 	 0.00
-88 	 0.00
-85 	 0.00
-84 	 0.00
-81 	 0.00
-80 	 0.00
-77 	 0.00
-76 	 0.00
-73 	 0.00
-72 	 0.00
-69 	 0.00
-68 	 0.00
-67 	 0.00
-65 	 0.00
-64 	 0.00
-63 	 0.00
-61 	 0.00
-60 	 0.00
-59 	 0.00
-57 	 0.00
-56 	 0.00
-55 	 0.00
-53 	 0.00
-52 	 0.00
-51 	 0.00
-49 	 0.00
-48 	 0.00
-47 	 0.00
-45 	 0.00
-44 	 0.00
-43 	 0.00
-42 	 0.00
-41 	 0.00
-40 	 0.00
-39 	 0.00
-38 	 0.00
-37 	 0.00
-36 	 0.00
-35 	 0.00
-34 	 0.00
-33 	 0.00
-32 	 0.00
-31 	 0.03
-30 	 0.04
-29 	 0.05
-28 	 0.07
-27 	 0.09
-26 	 0.12
-25 	 0.14
-24 	 0.17
-23 	 0.21
-22 	 0.25
-21 	 0.30
-20 	 0.35
-19 	 0.39
-18 	 0.43
-17 	 0.49
-17 	 0.48
-16 	 0.53
-15 	 0.59
-14 	 0.63
-13 	 0.65
-12 	 0.71
-11 	 0.76
-10 	 0.79
-9 	 0.80
-8 	 0.85
-7 	 0.89
-6 	 0.91
-5 	 0.92
-4 	 0.95
-3 	 0.97
-2 	 0.97
-1 	 0.97
0 	 1.00
1 	 1.00
2 	 1.00
3 	 0.98
4 	 0.99
5 	 0.99
6 	 0.97
7 	 0.94
8 	 0.94
8 	 0.93
9 	 0.93
10 	 0.90
11 	 0.87
12 	 0.84
13 	 0.84
14 	 0.80
15 	 0.76
16 	 0.71
17 	 0.70
18 	 0.65
19 	 0.61
20 	 0.58
21 	 0.56
22 	 0.51
23 	 0.47
24 	 0.43
25 	 0.41
26 	 0.36
27 	 0.32
28 	 0.30
29 	 0.27
30 	 0.22
31 	 0.18
32 	 0.14
33 	 0.12
33 	 0.11
34 	 0.07
35 	 0.03
36 	 0.00
37 	 -0.03
38 	 -0.07
39 	 -0.11
40 	 -0.14
41 	 -0.16
42 	 -0.20
43 	 -0.23
44 	 -0.26
45 	 -0.28
46 	 -0.31
47 	 -0.35
48 	 -0.36
49 	 -0.38
50 	 -0.40
51 	 -0.43
52 	 -0.46
53 	 -0.47
54 	 -0.49
55 	 -0.51
56 	 -0.52
57 	 -0.53
58 	 -0.55
58 	 -0.53
59 	 -0.57
60 	 -0.58
61 	 -0.58
62 	 -0.58
63 	 -0.61
64 	 -0.62
65 	 -0.61
66 	 -0.61
67 	 -0.63
68 	 -0.64
69 	 -0.63
70 	 -0.62
71 	 -0.64
72 	 -0.64
73 	 -0.63
74 	 -0.62
75 	 -0.63
76 	 -0.63
77 	 -0.62
78 	 -0.60
79 	 -0.61
80 	 -0.61
81 	 -0.59
82 	 -0.58
83 	 -0.59
83 	 -0.57
84 	 -0.58
85 	 -0.56
86 	 -0.54
87 	 -0.53
88 	 -0.54
89 	 -0.52
90 	 -0.50
91 	 -0.50
92 	 -0.50
93 	 -0.48
94 	 -0.46
95 	 -0.45
96 	 -0.46
97 	 -0.44
98 	 -0.41
99 	 -0.40
100 	 -0.41
101 	 -0.39
102 	 -0.36
103 	 -0.36
104 	 -0.36
105 	 -0.35
106 	 -0.32
107 	 -0.31
108 	 -0.32
108 	 -0.30
109 	 -0.30
110 	 -0.28
111 	 -0.27
112 	 -0.26
113 	 -0.25
114 	 -0.23
115 	 -0.22
116 	 -0.21
117 	 -0.21
118 	 -0.20
119 	 -0.19
120 	 -0.18
121 	 -0.18
122 	 -0.16
123 	 -0.15
124 	 -0.14
125 	 -0.14
126 	 -0.12
127 	 -0.12
128 	 -0.11
129 	 -0.11
130 	 -0.09
131 	 -0.09
132 	 -0.08
133 	 -0.08
133 	 -0.08
134 	 -0.07
135 	 -0.07
136 	 -0.07
137 	 -0.07
138 	 -0.05
139 	 -0.05
140 	 -0.05
141 	 -0.05
142 	 -0.04
143 	 -0.03
144 	 -0.03
145 	 -0.03
146 	 0.00
147 	 0.00
148 	 0.00
149 	 0.00
150 	 0.00
151 	 0.00
152 	 0.00
153 	 0.00
154 	 0.00
155 	 0.00
156 	 0.00
157 	 0.00
158 	 0.00
159 	 0.00
160 	 0.00
161 	 0.00
163 	 0.00
164 	 0.00
165 	 0.00
167 	 0.00
168 	 0.00
169 	 0.00
171 	 0.00
172 	 0.00
173 	 0.00
175 	 0.00
176 	 0.00
177 	 0.00
179 	 0.00
180 	 0.00
181 	 0.00
183 	 0.00
184 	 0.00
185 	 0.00
188 	 0.00
189 	 0.00
192 	 0.00
193 	 0.00
196 	 0.00
197 	 0.00
200 	 0.00
201 	 0.00
204 	 0.00
205 	 0.00
208 	 0.00
209 	 0.00
213 	 0.00
217 	 0.00
221 	 0.00
225 	 0.00
229 	 0.00
233 	 0.00
